,wf_id,dieSize,lotid,labels,image,set
0,0,533.0,lot173,Near-full,wf_image_0.png,test
1,1,1376.0,lot45729,Edge-Loc,wf_image_1.png,val
2,2,515.0,lot36599,Center,wf_image_2.png,train
3,3,904.0,lot45648,Edge-Loc,wf_image_3.png,train
4,4,516.0,lot43281,Edge-Loc,wf_image_4.png,cal
5,5,2126.0,lot18380,Edge-Ring,wf_image_5.png,val
6,6,1080.0,lot24205,Random,wf_image_6.png,test
7,7,515.0,lot36926,Center,wf_image_7.png,test
8,8,533.0,lot136,Edge-Loc,wf_image_8.png,train
9,9,515.0,lot36833,Center,wf_image_9.png,train
10,10,516.0,lot43142,Random,wf_image_10.png,cal
11,11,12662.0,lot19848,Edge-Ring,wf_image_11.png,train
12,12,600.0,lot47523,Near-full,wf_image_12.png,test
13,13,904.0,lot45630,Edge-Loc,wf_image_13.png,train
14,14,1075.0,lot2489,Edge-Ring,wf_image_14.png,test
15,15,516.0,lot43536,Center,wf_image_15.png,train
16,16,533.0,lot42145,Loc,wf_image_16.png,train
17,17,904.0,lot45635,Center,wf_image_17.png,cal
18,18,516.0,lot43560,Edge-Loc,wf_image_18.png,train
19,19,2126.0,lot21560,Edge-Ring,wf_image_19.png,train
20,20,1080.0,lot21519,Random,wf_image_20.png,cal
21,21,1075.0,lot2489,Edge-Ring,wf_image_21.png,train
22,22,1109.0,lot45554,Center,wf_image_22.png,train
23,23,12662.0,lot24522,Edge-Ring,wf_image_23.png,train
24,24,845.0,lot42263,Scratch,wf_image_24.png,train
25,25,515.0,lot36597,Center,wf_image_25.png,train
26,26,1060.0,lot47432,Scratch,wf_image_26.png,test
27,27,515.0,lot36717,Center,wf_image_27.png,train
28,28,1109.0,lot45489,Loc,wf_image_28.png,cal
29,29,1075.0,lot2494,Edge-Ring,wf_image_29.png,cal
30,30,741.0,lot44191,Near-full,wf_image_30.png,cal
31,31,3036.0,lot11857,Edge-Ring,wf_image_31.png,cal
32,32,904.0,lot45632,Edge-Loc,wf_image_32.png,train
33,33,844.0,lot42249,Scratch,wf_image_33.png,train
34,34,904.0,lot45635,Scratch,wf_image_34.png,train
35,35,518.0,lot15597,Random,wf_image_35.png,cal
36,36,12662.0,lot17286,Edge-Ring,wf_image_36.png,train
37,37,733.0,lot31719,Scratch,wf_image_37.png,val
38,38,776.0,lot40778,Scratch,wf_image_38.png,test
39,39,904.0,lot45631,Center,wf_image_39.png,test
40,40,3927.0,lot9150,Edge-Ring,wf_image_40.png,train
41,41,1060.0,lot47277,Scratch,wf_image_41.png,train
42,42,3927.0,lot9156,Edge-Ring,wf_image_42.png,train
43,43,515.0,lot36717,Center,wf_image_43.png,train
44,44,3927.0,lot9157,Edge-Ring,wf_image_44.png,cal
45,45,515.0,lot36909,Center,wf_image_45.png,train
46,46,533.0,lot10586,Edge-Loc,wf_image_46.png,cal
47,47,1376.0,lot45929,Donut,wf_image_47.png,train
48,48,2126.0,lot22474,Edge-Ring,wf_image_48.png,train
49,49,518.0,lot15598,Random,wf_image_49.png,cal
50,50,1060.0,lot47432,Scratch,wf_image_50.png,cal
51,51,533.0,lot40612,Scratch,wf_image_51.png,cal
52,52,939.0,lot6082,Edge-Loc,wf_image_52.png,train
53,53,515.0,lot36719,Center,wf_image_53.png,train
54,54,562.0,lot46796,Loc,wf_image_54.png,val
55,55,1075.0,lot23102,Edge-Ring,wf_image_55.png,cal
56,56,1334.0,lot17167,Donut,wf_image_56.png,train
57,57,515.0,lot10290,Center,wf_image_57.png,train
58,58,515.0,lot36829,Center,wf_image_58.png,test
59,59,1226.0,lot22193,Center,wf_image_59.png,test
60,60,741.0,lot44206,Scratch,wf_image_60.png,test
61,61,2126.0,lot21041,Edge-Ring,wf_image_61.png,cal
62,62,1137.0,lot42776,Scratch,wf_image_62.png,train
63,63,3036.0,lot9334,Edge-Ring,wf_image_63.png,val
64,64,1334.0,lot17155,Donut,wf_image_64.png,test
65,65,518.0,lot43911,Edge-Loc,wf_image_65.png,train
66,66,1075.0,lot2501,Edge-Ring,wf_image_66.png,val
67,67,712.0,lot39163,Center,wf_image_67.png,train
68,68,515.0,lot36737,Center,wf_image_68.png,train
69,69,515.0,lot6195,Edge-Loc,wf_image_69.png,cal
70,70,939.0,lot6467,Loc,wf_image_70.png,cal
71,71,1075.0,lot12905,Edge-Ring,wf_image_71.png,train
72,72,1291.0,lot13714,Edge-Ring,wf_image_72.png,test
73,73,845.0,lot42234,Loc,wf_image_73.png,train
74,74,600.0,lot47487,Scratch,wf_image_74.png,val
75,75,846.0,lot33895,Edge-Ring,wf_image_75.png,train
76,76,1129.0,lot42614,Random,wf_image_76.png,train
77,77,741.0,lot3085,Edge-Ring,wf_image_77.png,val
78,78,3927.0,lot9147,Edge-Ring,wf_image_78.png,test
79,79,533.0,lot40376,Edge-Loc,wf_image_79.png,test
80,80,1075.0,lot2500,Edge-Ring,wf_image_80.png,train
81,81,1075.0,lot2498,Edge-Ring,wf_image_81.png,train
82,82,3927.0,lot9152,Edge-Ring,wf_image_82.png,test
83,83,533.0,lot185,Scratch,wf_image_83.png,test
84,84,1658.0,lot20569,Edge-Ring,wf_image_84.png,train
85,85,939.0,lot6022,Edge-Ring,wf_image_85.png,train
86,86,1376.0,lot19254,Loc,wf_image_86.png,train
87,87,1139.0,lot21397,Scratch,wf_image_87.png,val
88,88,516.0,lot43143,Loc,wf_image_88.png,train
89,89,1075.0,lot13962,Edge-Ring,wf_image_89.png,cal
90,90,1075.0,lot25392,Edge-Ring,wf_image_90.png,val
91,91,1075.0,lot2495,Edge-Ring,wf_image_91.png,train
92,92,841.0,lot42358,Donut,wf_image_92.png,test
93,93,1129.0,lot42709,Edge-Loc,wf_image_93.png,train
94,94,1075.0,lot12906,Edge-Ring,wf_image_94.png,train
95,95,1349.0,lot2377,Random,wf_image_95.png,train
96,96,533.0,lot40339,Random,wf_image_96.png,test
97,97,518.0,lot44935,Edge-Loc,wf_image_97.png,val
98,98,1075.0,lot2524,Edge-Ring,wf_image_98.png,train
99,99,846.0,lot5589,Edge-Ring,wf_image_99.png,train
100,100,1109.0,lot45434,Center,wf_image_100.png,train
101,101,1139.0,lot18865,Scratch,wf_image_101.png,val
102,102,1060.0,lot47417,Edge-Loc,wf_image_102.png,val
103,103,939.0,lot7848,Center,wf_image_103.png,train
104,104,3927.0,lot9155,Edge-Ring,wf_image_104.png,cal
105,105,733.0,lot39500,Center,wf_image_105.png,val
106,106,562.0,lot47054,Loc,wf_image_106.png,train
107,107,1139.0,lot42796,Loc,wf_image_107.png,test
108,108,710.0,lot39943,Loc,wf_image_108.png,train
109,109,1421.0,lot44775,Edge-Ring,wf_image_109.png,cal
110,110,1658.0,lot16605,Edge-Ring,wf_image_110.png,train
111,111,712.0,lot41290,Random,wf_image_111.png,test
112,112,846.0,lot29786,Edge-Ring,wf_image_112.png,train
113,113,515.0,lot36917,Center,wf_image_113.png,test
114,114,516.0,lot42931,Edge-Loc,wf_image_114.png,val
115,115,516.0,lot42990,Edge-Loc,wf_image_115.png,test
116,116,741.0,lot44268,Edge-Loc,wf_image_116.png,train
117,117,1109.0,lot45378,Edge-Loc,wf_image_117.png,train
118,118,1075.0,lot13967,Edge-Ring,wf_image_118.png,train
119,119,1075.0,lot25391,Edge-Ring,wf_image_119.png,val
120,120,1421.0,lot44810,Edge-Ring,wf_image_120.png,test
121,121,3036.0,lot12758,Edge-Ring,wf_image_121.png,cal
122,122,846.0,lot7363,Loc,wf_image_122.png,train
123,123,2126.0,lot21043,Edge-Ring,wf_image_123.png,train
124,124,1334.0,lot17189,Loc,wf_image_124.png,train
125,125,1999.0,lot14527,Edge-Ring,wf_image_125.png,test
126,126,2126.0,lot20133,Edge-Ring,wf_image_126.png,test
127,127,2126.0,lot21581,Edge-Ring,wf_image_127.png,cal
128,128,1349.0,lot2377,Random,wf_image_128.png,train
129,129,600.0,lot47537,Loc,wf_image_129.png,train
130,130,600.0,lot47528,Edge-Ring,wf_image_130.png,cal
131,131,1334.0,lot17184,Donut,wf_image_131.png,train
132,132,562.0,lot47132,Scratch,wf_image_132.png,train
133,133,515.0,lot36778,Edge-Loc,wf_image_133.png,train
134,134,1421.0,lot16330,Random,wf_image_134.png,val
135,135,904.0,lot45633,Scratch,wf_image_135.png,train
136,136,2126.0,lot18018,Edge-Ring,wf_image_136.png,cal
137,137,2126.0,lot20908,Edge-Ring,wf_image_137.png,cal
138,138,1060.0,lot47287,Center,wf_image_138.png,test
139,139,1060.0,lot47466,Edge-Loc,wf_image_139.png,test
140,140,1376.0,lot45803,Edge-Loc,wf_image_140.png,val
141,141,1075.0,lot25392,Edge-Ring,wf_image_141.png,train
142,142,515.0,lot36765,Center,wf_image_142.png,train
143,143,1075.0,lot23108,Edge-Ring,wf_image_143.png,test
144,144,1801.0,lot4662,Edge-Loc,wf_image_144.png,train
145,145,904.0,lot45641,Loc,wf_image_145.png,train
146,146,2126.0,lot20135,Edge-Ring,wf_image_146.png,train
147,147,2126.0,lot22490,Edge-Ring,wf_image_147.png,train
148,148,3927.0,lot9149,Edge-Ring,wf_image_148.png,val
149,149,1075.0,lot13965,Edge-Ring,wf_image_149.png,test
150,150,3927.0,lot2534,Edge-Ring,wf_image_150.png,cal
151,151,516.0,lot43509,Center,wf_image_151.png,train
152,152,515.0,lot36943,Center,wf_image_152.png,train
153,153,1080.0,lot24207,Loc,wf_image_153.png,train
154,154,2126.0,lot22479,Edge-Ring,wf_image_154.png,train
155,155,1334.0,lot17143,Donut,wf_image_155.png,train
156,156,776.0,lot40925,Edge-Loc,wf_image_156.png,cal
157,157,712.0,lot41796,Loc,wf_image_157.png,train
158,158,1129.0,lot42724,Loc,wf_image_158.png,cal
159,159,1075.0,lot2518,Edge-Ring,wf_image_159.png,val
160,160,515.0,lot36758,Center,wf_image_160.png,val
161,161,1376.0,lot45688,Loc,wf_image_161.png,test
162,162,516.0,lot43580,Edge-Loc,wf_image_162.png,cal
163,163,1349.0,lot2420,Random,wf_image_163.png,train
164,164,1334.0,lot17159,Loc,wf_image_164.png,cal
165,165,515.0,lot35922,Center,wf_image_165.png,test
166,166,515.0,lot36709,Center,wf_image_166.png,val
167,167,1060.0,lot47470,Center,wf_image_167.png,train
168,168,733.0,lot27886,Edge-Ring,wf_image_168.png,train
169,169,515.0,lot32048,Edge-Ring,wf_image_169.png,train
170,170,600.0,lot47488,Edge-Loc,wf_image_170.png,train
171,171,776.0,lot40894,Loc,wf_image_171.png,train
172,172,3036.0,lot11877,Edge-Ring,wf_image_172.png,cal
173,173,904.0,lot45642,Center,wf_image_173.png,cal
174,174,515.0,lot32990,Center,wf_image_174.png,train
175,175,1298.0,lot43599,Near-full,wf_image_175.png,val
176,176,1999.0,lot14822,Edge-Ring,wf_image_176.png,test
177,177,600.0,lot47507,Loc,wf_image_177.png,train
178,178,600.0,lot47490,Edge-Ring,wf_image_178.png,val
179,179,741.0,lot44366,Edge-Loc,wf_image_179.png,val
180,180,515.0,lot39608,Center,wf_image_180.png,train
181,181,515.0,lot36574,Center,wf_image_181.png,train
182,182,562.0,lot46806,Edge-Loc,wf_image_182.png,train
183,183,3036.0,lot11966,Edge-Ring,wf_image_183.png,test
184,184,1334.0,lot17174,Donut,wf_image_184.png,val
185,185,1075.0,lot2504,Edge-Ring,wf_image_185.png,cal
186,186,515.0,lot36967,Center,wf_image_186.png,train
187,187,904.0,lot4090,Loc,wf_image_187.png,cal
188,188,2126.0,lot21580,Edge-Ring,wf_image_188.png,test
189,189,1075.0,lot2513,Edge-Ring,wf_image_189.png,train
190,190,776.0,lot40756,Edge-Loc,wf_image_190.png,test
191,191,1109.0,lot45354,Random,wf_image_191.png,cal
192,192,1139.0,lot16909,Loc,wf_image_192.png,train
193,193,1801.0,lot4647,Edge-Loc,wf_image_193.png,train
194,194,776.0,lot44077,Scratch,wf_image_194.png,train
195,195,1075.0,lot11590,Edge-Ring,wf_image_195.png,train
196,196,1075.0,lot2496,Edge-Ring,wf_image_196.png,cal
197,197,600.0,lot47482,Loc,wf_image_197.png,test
198,198,1334.0,lot17106,Donut,wf_image_198.png,test
199,199,1060.0,lot47356,Scratch,wf_image_199.png,train
200,200,515.0,lot36929,Center,wf_image_200.png,test
201,201,1109.0,lot45332,Edge-Ring,wf_image_201.png,test
202,202,515.0,lot36608,Center,wf_image_202.png,train
203,203,1376.0,lot45929,Donut,wf_image_203.png,train
204,204,1109.0,lot45325,Edge-Loc,wf_image_204.png,train
205,205,518.0,lot43930,Center,wf_image_205.png,train
206,206,1376.0,lot45838,Edge-Loc,wf_image_206.png,train
207,207,562.0,lot46785,Edge-Loc,wf_image_207.png,train
208,208,562.0,lot46737,Loc,wf_image_208.png,cal
209,209,1075.0,lot13965,Edge-Ring,wf_image_209.png,val
210,210,1291.0,lot10049,Edge-Ring,wf_image_210.png,test
211,211,1226.0,lot23657,Loc,wf_image_211.png,test
212,212,1138.0,lot42745,Edge-Loc,wf_image_212.png,train
213,213,600.0,lot47513,Edge-Ring,wf_image_213.png,train
214,214,515.0,lot36973,Center,wf_image_214.png,test
215,215,515.0,lot10376,Random,wf_image_215.png,test
216,216,776.0,lot2992,Edge-Loc,wf_image_216.png,val
