scenario,experiment,n_samples,n_features,n_informative,weights,class_sep,,,,,
s1,s1_1,6000,6,5,unbalanced,1,,,,,
s1,s1_2,6000,20,5,unbalanced,1,,,,,
s1,s1_3,6000,30,5,unbalanced,1,,,,,
s1,s1_4,6000,20,15,unbalanced,1,,,,,
s1,s1_5,6000,30,15,unbalanced,1,,,,,
s1,s1_6,6000,20,20,unbalanced,1,,,,,
s1,s1_7,6000,30,20,unbalanced,1,,,,,
s1,s1_8,6000,6,5,unbalanced,0.8,,,,,
s1,s1_9,6000,20,5,unbalanced,0.8,,,,,
s1,s1_10,6000,30,5,unbalanced,0.8,,,,,
s1,s1_11,6000,20,15,unbalanced,0.8,,,,,
s1,s1_12,6000,30,15,unbalanced,0.8,,,,,
s1,s1_13,6000,20,20,unbalanced,0.8,,,,,
s1,s1_14,6000,30,20,unbalanced,0.8,,,,,
s2,s2_1,6000,200,5,unbalanced,1,,,,,
s2,s2_2,6000,200,20,unbalanced,1,,,,,
s2,s2_3,40000,200,5,unbalanced,1,,,,,
s2,s2_4,40000,200,20,unbalanced,1,,,,,
s2,s2_5,6000,200,5,unbalanced,0.8,,,,,
s2,s2_6,6000,200,20,unbalanced,0.8,,,,,
s2,s2_7,40000,200,5,unbalanced,0.8,,,,,
s2,s2_8,40000,200,20,unbalanced,0.8,,,,,
s3,s3_1,6000,6,5,unbalanced,0.2,,,,,
s3,s3_2,6000,20,5,unbalanced,0.2,,,,,
s3,s3_3,6000,200,5,unbalanced,0.2,,,,,
s3,s3_4,6000,20,20,unbalanced,0.2,,,,,
s3,s3_5,6000,200,20,unbalanced,0.2,,,,,
s3,s3_6,40000,6,5,unbalanced,0.2,,,,,
s3,s3_7,40000,20,5,unbalanced,0.2,,,,,
s3,s3_8,40000,200,5,unbalanced,0.2,,,,,
s3,s3_9,40000,20,20,unbalanced,0.2,,,,,
s3,s3_10,40000,200,20,unbalanced,0.2,,,,,
s4,s4_1,40000,6,5,equal,1,,,,,
s4,s4_2,40000,20,5,equal,1,,,,,
s4,s4_3,40000,30,5,equal,1,,,,,
s4,s4_4,40000,20,15,equal,1,,,,,
s4,s4_5,40000,30,15,equal,1,,,,,
s4,s4_6,40000,20,20,equal,1,,,,,
s4,s4_7,40000,30,20,equal,1,,,,,
