Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s3,s3_1,Random Forest,Standard,0.12 (0.008),2.62 (0.061),0.50,0.12,0.008,2.62,0.061
s3,s3_1,Random Forest,Classwise,0.03 (0.006),3.71 (0.096),0.50,0.03,0.006,3.71,0.096
s3,s3_1,Random Forest,Clustered,0.12 (0.008),2.63 (0.062),0.50,0.12,0.008,2.63,0.062
s3,s3_1,Random Forest,Augmented,0.04 (0.006),3.14 (0.025),0.50,0.04,0.006,3.14,0.025
s3,s3_1,XGBoost,Standard,0.13 (0.009),2.30 (0.055),0.50,0.13,0.009,2.3,0.055
s3,s3_1,XGBoost,Classwise,0.03 (0.006),3.21 (0.093),0.50,0.03,0.006,3.21,0.093
s3,s3_1,XGBoost,Clustered,0.12 (0.009),2.34 (0.059),0.50,0.12,0.009,2.34,0.059
s3,s3_1,XGBoost,Augmented,0.05 (0.005),2.65 (0.020),0.50,0.05,0.005,2.65,0.02
s3,s3_1,MLP Neural Net,Standard,0.06 (0.007),1.82 (0.044),0.67,0.06,0.007,1.82,0.044
s3,s3_1,MLP Neural Net,Classwise,0.04 (0.009),2.21 (0.059),0.67,0.04,0.009,2.21,0.059
s3,s3_1,MLP Neural Net,Clustered,0.06 (0.006),1.85 (0.046),0.67,0.06,0.006,1.85,0.046
s3,s3_1,MLP Neural Net,Augmented,0.05 (0.007),1.89 (0.019),0.67,0.05,0.007,1.89,0.019
s3,s3_2,Random Forest,Standard,0.16 (0.006),3.56 (0.064),0.35,0.16,0.006,3.56,0.064
s3,s3_2,Random Forest,Classwise,0.04 (0.006),4.54 (0.112),0.35,0.04,0.006,4.54,0.112
s3,s3_2,Random Forest,Clustered,0.15 (0.006),3.58 (0.068),0.35,0.15,0.006,3.58,0.068
s3,s3_2,Random Forest,Augmented,0.03 (0.005),4.37 (0.029),0.35,0.03,0.005,4.37,0.029
s3,s3_2,XGBoost,Standard,0.13 (0.008),3.05 (0.057),0.41,0.13,0.008,3.05,0.057
s3,s3_2,XGBoost,Classwise,0.03 (0.005),4.03 (0.090),0.41,0.03,0.005,4.03,0.09
s3,s3_2,XGBoost,Clustered,0.13 (0.008),3.05 (0.058),0.41,0.13,0.008,3.05,0.058
s3,s3_2,XGBoost,Augmented,0.03 (0.005),3.43 (0.025),0.41,0.03,0.005,3.43,0.025
s3,s3_2,MLP Neural Net,Standard,0.06 (0.005),2.59 (0.041),0.53,0.06,0.005,2.59,0.041
s3,s3_2,MLP Neural Net,Classwise,0.04 (0.004),3.28 (0.045),0.53,0.04,0.004,3.28,0.045
s3,s3_2,MLP Neural Net,Clustered,0.07 (0.006),2.57 (0.040),0.53,0.07,0.006,2.57,0.04
s3,s3_2,MLP Neural Net,Augmented,0.03 (0.004),2.58 (0.014),0.53,0.03,0.004,2.58,0.014
s3,s3_3,Random Forest,Standard,0.19 (0.007),5.62 (0.062),0.13,0.19,0.007,5.62,0.062
s3,s3_3,Random Forest,Classwise,0.03 (0.007),6.65 (0.089),0.13,0.03,0.007,6.65,0.089
s3,s3_3,Random Forest,Clustered,0.20 (0.008),5.54 (0.064),0.13,0.2,0.008,5.54,0.064
s3,s3_3,Random Forest,Augmented,0.04 (0.005),6.87 (0.024),0.13,0.04,0.005,6.87,0.024
s3,s3_3,XGBoost,Standard,0.19 (0.009),3.59 (0.075),0.31,0.19,0.009,3.59,0.075
s3,s3_3,XGBoost,Classwise,0.04 (0.006),4.96 (0.093),0.31,0.04,0.006,4.96,0.093
s3,s3_3,XGBoost,Clustered,0.19 (0.008),3.62 (0.074),0.31,0.19,0.008,3.62,0.074
s3,s3_3,XGBoost,Augmented,0.04 (0.005),4.64 (0.026),0.31,0.04,0.005,4.64,0.026
s3,s3_3,MLP Neural Net,Standard,0.09 (0.005),5.94 (0.045),0.18,0.09,0.005,5.94,0.045
s3,s3_3,MLP Neural Net,Classwise,0.04 (0.006),6.65 (0.041),0.18,0.04,0.006,6.65,0.041
s3,s3_3,MLP Neural Net,Clustered,0.09 (0.005),5.95 (0.048),0.18,0.09,0.005,5.95,0.048
s3,s3_3,MLP Neural Net,Augmented,0.10 (0.004),5.71 (0.017),0.18,0.1,0.004,5.71,0.017
